[15-Feb-2023 00:38:22 UTC] Cron reschedule event error for hook: wp_privacy_delete_old_export_files, Error code: could_not_set, Error message: The cron event list could not be saved., Data: {"schedule":"hourly","args":[],"interval":3600}
[16-Feb-2023 02:53:38 UTC] PHP Parse error:  syntax error, unexpected token "<" in C:\Users\guyef\Local Sites\wp-portfolio\app\public\wp-content\themes\portfolio-theme\page.php on line 47
[16-Feb-2023 03:40:56 UTC] PHP Parse error:  syntax error, unexpected token "<", expecting end of file in C:\Users\guyef\Local Sites\wp-portfolio\app\public\wp-content\themes\portfolio-theme\index.php on line 56
[17-Feb-2023 01:20:16 UTC] PHP Parse error:  syntax error, unexpected token "}" in C:\Users\guyef\Local Sites\wp-portfolio\app\public\wp-content\themes\portfolio-theme\functions.php on line 43
[17-Feb-2023 01:20:16 UTC] PHP Parse error:  syntax error, unexpected token "}" in C:\Users\guyef\Local Sites\wp-portfolio\app\public\wp-content\themes\portfolio-theme\functions.php on line 43
[17-Feb-2023 16:46:20 UTC] Cron reschedule event error for hook: wp_privacy_delete_old_export_files, Error code: could_not_set, Error message: The cron event list could not be saved., Data: {"schedule":"hourly","args":[],"interval":3600}
[17-Feb-2023 19:16:38 UTC] PHP Parse error:  syntax error, unexpected token "=>", expecting ")" in C:\Users\guyef\Local Sites\wp-portfolio\app\public\wp-content\themes\portfolio-theme\functions.php on line 43
[17-Feb-2023 19:16:38 UTC] PHP Parse error:  syntax error, unexpected token "=>", expecting ")" in C:\Users\guyef\Local Sites\wp-portfolio\app\public\wp-content\themes\portfolio-theme\functions.php on line 43
[17-Feb-2023 19:17:16 UTC] PHP Parse error:  syntax error, unexpected token "=>", expecting ")" in C:\Users\guyef\Local Sites\wp-portfolio\app\public\wp-content\themes\portfolio-theme\template-parts\navbar.php on line 17
[17-Feb-2023 19:17:26 UTC] PHP Parse error:  syntax error, unexpected token "=>", expecting ")" in C:\Users\guyef\Local Sites\wp-portfolio\app\public\wp-content\themes\portfolio-theme\template-parts\navbar.php on line 17
[17-Feb-2023 20:55:40 UTC] PHP Warning:  Attempt to read property "title" on null in C:\Users\guyef\Local Sites\wp-portfolio\app\public\wp-includes\class-wp-customize-widgets.php on line 900
[17-Feb-2023 23:41:34 UTC] PHP Parse error:  syntax error, unexpected single-quoted string "container_id", expecting "]" in C:\Users\guyef\Local Sites\wp-portfolio\app\public\wp-content\themes\portfolio-theme\template-parts\navbar.php on line 10
[18-Feb-2023 00:17:21 UTC] PHP Parse error:  syntax error, unexpected identifier "http", expecting "]" in C:\Users\guyef\Local Sites\wp-portfolio\app\public\wp-content\themes\portfolio-theme\template-parts\navbar.php on line 10
[18-Feb-2023 00:17:38 UTC] PHP Parse error:  syntax error, unexpected identifier "http", expecting "]" in C:\Users\guyef\Local Sites\wp-portfolio\app\public\wp-content\themes\portfolio-theme\template-parts\navbar.php on line 10
[18-Feb-2023 00:18:21 UTC] PHP Parse error:  syntax error, unexpected token ":", expecting "]" in C:\Users\guyef\Local Sites\wp-portfolio\app\public\wp-content\themes\portfolio-theme\template-parts\navbar.php on line 10
[18-Feb-2023 00:22:20 UTC] PHP Warning:  Attempt to read property "title" on null in C:\Users\guyef\Local Sites\wp-portfolio\app\public\wp-includes\class-wp-customize-widgets.php on line 900
[18-Feb-2023 00:23:19 UTC] PHP Warning:  Attempt to read property "title" on null in C:\Users\guyef\Local Sites\wp-portfolio\app\public\wp-includes\class-wp-customize-widgets.php on line 900
